Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,team_win_pct,PTS_norm,AST_norm,TRB_norm,STL_norm,BLK_norm,FG%_norm,team_win_pct_norm,3P%_norm,3PA_norm,TOV_norm,eFG%_norm,2P%_norm,2PA_norm,MP_norm,FT%_norm,GS_norm,mvp_score
2.0,Shai Gilgeous-Alexander,27.0,OKC,PG,68.0,68.0,33.2,10.8,19.4,0.553,1.7,4.4,0.386,9.1,15.0,0.602,0.597,7.9,9.0,0.879,0.6,3.7,4.3,6.6,1.4,0.8,2.2,2.0,31.1,"MVP-1,CPOY-1,AS,NBA1",0.78,0.9283582089552239,0.616822429906542,0.3333333333333333,0.5185185185185185,0.25806451612903225,0.6638655462184875,1.0,0.386,0.3893805309734513,0.55,0.6510359869138495,0.602,0.9375,0.8681318681318682,0.879,0.8292682926829268,0.8315574732037365
17.0,Victor Wembanyama,22.0,SAS,C,64.0,55.0,29.2,8.6,16.9,0.512,1.9,5.5,0.349,6.7,11.4,0.59,0.569,5.8,7.0,0.827,2.0,9.5,11.5,3.1,1.0,3.1,2.4,2.4,25.0,"MVP-3,DPOY-1,AS,NBA1,DEF1",0.756,0.746268656716418,0.28971962616822433,0.8914728682170543,0.37037037037037035,1.0,0.6146458583433374,0.9581151832460733,0.349,0.48672566371681414,0.6,0.6205016357688112,0.59,0.7125,0.7582417582417582,0.827,0.6707317073170732,0.8060399940632225
8.0,Nikola Jokić,30.0,DEN,C,65.0,65.0,34.8,9.9,17.4,0.569,1.7,4.5,0.38,8.2,12.9,0.636,0.618,6.1,7.4,0.831,3.0,9.9,12.9,10.7,1.4,0.8,3.7,2.7,27.7,"MVP-2,CPOY-6,AS,NBA1",0.659,0.826865671641791,1.0,1.0,0.5185185185185185,0.25806451612903225,0.6830732292917167,0.7888307155322862,0.38,0.3982300884955752,0.925,0.6739367502726281,0.636,0.80625,0.912087912087912,0.831,0.7926829268292683,0.8017597865036434
1.0,Luka Dončić,26.0,LAL,PG,64.0,64.0,35.8,10.8,22.8,0.476,4.0,10.8,0.366,6.9,11.9,0.575,0.563,7.9,10.1,0.78,0.6,7.1,7.7,8.3,1.6,0.5,4.0,2.4,33.5,"MVP-4,CPOY-8,AS,NBA1",0.646,1.0,0.7757009345794393,0.5968992248062015,0.5925925925925926,0.16129032258064516,0.5714285714285714,0.7661431064572426,0.366,0.9557522123893806,1.0,0.6139585605234459,0.575,0.74375,0.9395604395604394,0.78,0.7804878048780488,0.7894104265301027
21.0,Cade Cunningham,24.0,DET,PG,64.0,64.0,33.9,8.6,18.6,0.461,2.0,5.7,0.342,6.6,12.9,0.514,0.513,4.8,6.0,0.812,0.9,4.7,5.5,9.9,1.4,0.8,3.7,3.1,23.9,"MVP-5,CPOY-4,AS,NBA1",0.732,0.7134328358208955,0.9252336448598132,0.4263565891472868,0.5185185185185185,0.25806451612903225,0.553421368547419,0.9162303664921465,0.342,0.504424778761062,0.925,0.559432933478735,0.514,0.80625,0.8873626373626373,0.812,0.7804878048780488,0.7714140141466203
4.0,Jaylen Brown,29.0,BOS,SF,71.0,71.0,34.4,10.4,21.7,0.477,2.0,5.7,0.347,8.4,16.0,0.523,0.522,6.0,7.5,0.795,1.1,5.8,6.9,5.1,1.0,0.4,3.6,2.7,28.7,"MVP-6,AS,NBA2",0.683,0.8567164179104477,0.4766355140186916,0.5348837209302326,0.37037037037037035,0.12903225806451613,0.5726290516206483,0.830715532286213,0.347,0.504424778761062,0.9,0.569247546346783,0.523,1.0,0.901098901098901,0.795,0.8658536585365854,0.7381633698792295
72.0,Chet Holmgren,23.0,OKC,PF,69.0,69.0,28.9,6.3,11.3,0.557,1.3,3.5,0.362,5.0,7.8,0.646,0.614,3.3,4.1,0.792,1.9,7.0,8.9,1.7,0.6,1.9,1.6,2.3,17.1,"DPOY-2,AS,NBA3,DEF1",0.78,0.5104477611940299,0.15887850467289721,0.689922480620155,0.2222222222222222,0.6129032258064515,0.6686674669867948,1.0,0.362,0.30973451327433627,0.4,0.6695747001090512,0.646,0.4875,0.75,0.792,0.8414634146341463,0.7121983432787597
16.0,Jamal Murray,28.0,DEN,PG,75.0,75.0,35.4,8.8,18.1,0.483,3.3,7.5,0.435,5.5,10.6,0.517,0.573,4.6,5.2,0.887,0.4,4.0,4.4,7.1,0.9,0.4,2.3,1.7,25.4,"CPOY-2,AS,NBA3",0.659,0.7582089552238805,0.6635514018691588,0.34108527131782945,0.3333333333333333,0.12903225806451613,0.5798319327731093,0.7888307155322862,0.435,0.663716814159292,0.575,0.6248636859323882,0.517,0.6625,0.9285714285714285,0.887,0.9146341463414634,0.6953884908562253
79.0,Stephon Castle,21.0,SAS,PG,68.0,67.0,30.0,5.7,12.0,0.471,1.2,3.6,0.332,4.5,8.4,0.531,0.521,4.1,5.6,0.734,1.4,3.9,5.3,7.4,1.1,0.3,3.2,3.3,16.7,,0.756,0.49850746268656715,0.691588785046729,0.4108527131782945,0.40740740740740744,0.0967741935483871,0.5654261704681872,0.9581151832460733,0.332,0.3185840707964602,0.8,0.5681570338058888,0.531,0.525,0.7802197802197802,0.734,0.8170731707317073,0.6942351609712741
56.0,De'Aaron Fox,28.0,SAS,PG,72.0,72.0,31.0,7.1,14.5,0.486,1.8,5.5,0.332,5.3,9.1,0.58,0.549,2.6,3.4,0.76,0.6,3.2,3.8,6.2,1.2,0.3,2.3,2.3,18.6,AS,0.756,0.555223880597015,0.5794392523364487,0.2945736434108527,0.4444444444444444,0.0967741935483871,0.5834333733493398,0.9581151832460733,0.332,0.48672566371681414,0.575,0.598691384950927,0.58,0.56875,0.8076923076923077,0.76,0.8780487804878049,0.6935228374667204
